ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
DR - Direct Response,Title,display,2499.71,False,False,False,Winter,display_DR - Direct Response,display_Title,0.0997524256618543,62640582.8494,7.824329970535926,10.129033815026633,0.0950850868926836,17.95292393031539
ATL - Above The Line,Title,paid social,26576.9,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.3765702352109868,1875696875.5490005,10.187835322374028,11.164462566836155,0.3195950687891845,21.352246094810333
DR - Direct Response,Brand,app,297.15,False,False,False,Summer,app_DR - Direct Response,app_Brand,0.016506215035737,5349386.4165,5.697596715569115,9.7983109088617,0.0163714682197982,15.492492610727597
DR - Direct Response,Brand,paid social,8362.22,False,False,False,Spring,paid social_DR - Direct Response,paid social_Brand,0.5433707202234246,128690635.5566,9.031598799384916,9.64150766418667,0.4339688039034158,18.67292191589168
ATL - Above The Line,Brand,paid social,155.53,False,True,False,Spring,paid social_ATL - Above The Line,paid social_Brand,0.0036889253730847,6557351.6549,5.053247684900132,10.649282447342802,0.0036821379748963,15.696097520764274
DR - Direct Response,Brand,app,699.26,False,False,False,Spring,app_DR - Direct Response,app_Brand,0.0572709991342927,8537733.8442,6.551451694652317,9.410065438654152,0.055691059206122,15.960006289856215
DR - Direct Response,Title,app,355.82,False,False,True,Fall,app_DR - Direct Response,app_Title,0.0249741008284927,5069566.799199999,5.877231452946558,9.564411127959056,0.0246673447867459,15.438766125227543
DR - Direct Response,Title,ott,13026.08,False,False,False,Spring,ott_DR - Direct Response,ott_Title,0.8786012074790587,193123750.2544,9.474785546770288,9.60420040089,0.6305274613328137,19.078841739598744
ATL - Above The Line,Title,youtube,2822.05,False,False,False,Spring,youtube_ATL - Above The Line,youtube_Title,0.1263259626588503,63042988.4315,7.945573139750908,10.014153320423627,0.1189609750877781,17.95932742357451
DR - Direct Response,Brand,youtube,3099.24,False,False,False,Spring,youtube_DR - Direct Response,youtube_Brand,0.0190009627267255,505515889.6812,8.039234806831352,12.002183961224748,0.0188226990161233,20.04109003150183
DR - Direct Response,Brand,paid social,430.78,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.0621669088710294,2985051.2398,6.067916199268313,8.843674253493047,0.0603110751326617,14.909127805426222
DR - Direct Response,Brand,paid social,1848.87,False,True,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.0182883348324096,186912603.4833,7.522870645333029,11.52383167545852,0.0181231145985012,19.046151709869868
DR - Direct Response,Title,youtube,800.48,False,False,False,Summer,youtube_DR - Direct Response,youtube_Title,0.013853453966098,46253319.3504,6.686460018525545,10.96444954762971,0.0137583720086977,17.649643810705832
