Feature,VIF
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_partnership_September,6928298147042545.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ctv_November,6897985886997368.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_olv_October,6883484614414727.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_online display_September,6800467812668339.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_July,6743764523619569.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_bvod_August,6739175817485874.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_app_September,6691318872961878.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_digital audio_October,6675627983276075.0
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_December,6671934145564956.0
CHANNEL_MONTH_cinema_October,6644192805295218.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_radio_December,6628680609793108.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_November,6565162672847254.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_radio_July,6448416311848363.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ooh_March,6434956425521557.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_olv_February,6382748003770781.0
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_July,6106552053060546.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_December,6104933051475818.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_October,6094385912101536.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_app_March,6014804742307789.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_digital audio_October,5933142590451260.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_October,5763464480336452.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_July,5693747178429830.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ott_October,5663740210107368.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_bvod_August,5631132471184295.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_olv_September,5613894186257032.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ooh_May,5582525461516339.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_October,5537006412715165.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_September,5498036431466614.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_print_June,5484358365131866.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_online display_October,5477395917271382.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_olv_January,5390327830109359.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_June,5389390167126945.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_tv_June,5345778032775727.0
CHANNEL_MONTH_ooh_April,5335868734036826.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_cinema_October,5322762543308054.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_April,5295476795730853.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_October,5265036758121840.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_print_June,5173102398212417.0
CHANNEL_MONTH_bvod_October,5120402666518354.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_October,5018711710404497.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_cinema_July,4866129199921177.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ooh_October,4767209924888636.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_app_September,4759493456692969.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_December,4678564073233965.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_tv_July,4664759436894359.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_cinema_June,4664020319446729.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_ott_July,4509498249276546.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_March,4450111732469635.5
CHANNEL_MONTH_print_November,4440076074398794.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_tv_November,4383335406576496.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_radio_February,4381024508749741.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ooh_October,4381010482804041.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_print_December,4371063214205254.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_olv_December,4306583879482528.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_ooh_July,4274534052177205.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_September,4179099743563799.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_December,4118657690325581.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_cinema_October,4115515280935995.5
CHANNEL_MONTH_online display_December,4086209485513716.5
CHANNEL_MONTH_app_June,4031445447918093.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_radio_October,4020486367548760.5
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_June,3885299584257794.0
CHANNEL_MONTH_bvod_December,3838415889061374.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_May,3836766988701250.5
CHANNEL_MONTH_bvod_July,3835206822966407.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_January,3729931316931282.0
CHANNEL_MONTH_ooh_January,3724578956394244.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_online display_October,3679829494281499.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_January,3659811534697181.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_cinema_June,3650176465016516.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_February,3627267322945429.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_online display_September,3624628511214265.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_ott_November,3612549546800833.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_online display_September,3593349825069631.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_cinema_August,3575123349862235.0
CHANNEL_MONTH_ctv_December,3542424256219824.5
CHANNEL_MONTH_bvod_June,3522520913469502.5
CHANNEL_MONTH_ctv_March,3482245569280602.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_radio_August,3466665764589211.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_paid social_October,3371530197234776.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_June,3357832373666341.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ott_January,3288265287290822.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_August,3262163646312714.0
CHANNEL_MONTH_cinema_July,3217158223351319.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_cinema_August,3214916691584570.5
CHANNEL_MONTH_radio_February,3205474697828726.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_March,3182678015228776.5
CHANNEL_MONTH_partnership_July,3084660484682085.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_tv_February,3082999061011421.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_app_February,3080490006057095.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_app_November,3079828917566606.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_bvod_November,3016543215357035.5
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_February,2869357426160382.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_app_November,2863314104310724.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_January,2840649782220193.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_July,2785876110480388.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_app_February,2760132540736843.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_radio_November,2714907405039141.0
CAMPAIGN_TYPE_MONTH_Launch_August,2710895068140839.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_partnership_October,2701264896687693.5
CHANNEL_MONTH_tv_July,2672824741278754.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_June,2639940487422717.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_December,2424553781367343.5
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_June,2411242722109942.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_May,2405165048574394.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_app_November,2402587788289222.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_app_March,2377279734196690.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_November,2374145599138746.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ooh_November,2348741460166786.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_March,2348276530301405.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_radio_August,2305869482374428.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_radio_May,2305162041112211.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_June,2289702423362801.5
CHANNEL_MONTH_ctv_October,2239279681367466.5
CAMPAIGN_TYPE_MONTH_Title_September,2219869902672263.2
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_tv_February,2201607657759627.2
CHANNEL_MONTH_radio_July,2147548768387736.8
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_November,2100983582507836.2
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_olv_April,2060169106087307.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_partnership_July,2032797519109660.8
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_July,2021564592089207.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_May,1969198643877271.2
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_pmax_December,1961081923535970.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_tv_June,1916039865007464.5
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_February,1912113736025692.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_digital audio_August,1900371647084434.8
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_February,1857392800941513.2
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_August,1849409924659157.2
CHANNEL_MONTH_print_September,1787439444003565.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_partnership_July,1725482065578425.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_September,1648487410773351.2
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_paid social_September,1642330710053078.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ooh_July,1578408805598291.0
CHANNEL_MONTH_partnership_March,1492863968561251.8
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ctv_October,1484225898685994.8
CHANNEL_MONTH_app_February,1380453810329788.0
CHANNEL_MONTH_bvod_August,1370179601026103.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_December,1368196806817977.0
AVG_COST_BY_CAMPAIGN_TYPE_MONTH,1334571305747628.8
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_print_November,1273471138185382.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_July,1239450539661798.2
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_radio_August,1238599536064262.2
CAMPAIGN_TYPE_MONTH_Title_July,1227067889920442.5
CHANNEL_MONTH_olv_October,1206036917833394.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_tv_March,1172046724031731.5
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_radio_July,1162141541763497.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_bvod_February,1159996277604467.2
CAMPAIGN_TYPE_MONTH_Title_February,1145960473127827.5
CAMPAIGN_TYPE_MONTH_Title_August,1119084625125506.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_digital audio_August,1108709626267772.5
CHANNEL_MONTH_app_September,1064686456940587.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_tv_June,1064125352447618.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_paid social_March,1055163535069888.6
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Title_July,1050042324382002.5
CAMPAIGN_TYPE_CHANNEL_Brand_pmax,1015231855529179.4
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_November,993516852891855.2
CAMPAIGN_TYPE_MONTH_Title_January,957401519792355.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_February,924965051263166.9
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_July,909471305989972.2
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_radio_February,862758485548123.1
CHANNEL_MONTH_ott_February,794663031122372.5
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ooh_November,785181388037338.6
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_tv_January,773680742819738.4
CHANNEL_youtube,761870210137639.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_cinema_September,744586470719799.4
CHANNEL_MONTH_tv_February,741115927659518.6
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_tv_January,729928919017117.8
CHANNEL_pmax,708791296682892.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_youtube_March,688270757757434.4
CAMPAIGN_TYPE_CHANNEL_Brand_cinema,686923445661700.8
CAMPAIGN_TYPE_MONTH_Brand_November,668164931748747.4
ATL_OR_DR_MONTH_ATL - Above The Line_June,624967384909844.0
ATL_OR_DR_MONTH_ATL - Above The Line_July,618099547506159.1
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Title_February,616792733983308.8
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_August,614192839246059.0
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_October,606104619800546.1
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ctv_October,603007249657070.6
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_July,592520486611298.6
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_September,580428315113176.1
AVG_COST_PER_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,568437268888494.5
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Title_September,553134712172036.1
AVG_COST_PER_FREE_TRIALS_BY_CHANNEL_MONTH,551839360839088.94
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_olv_July,533043773900088.1
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_display_May,527709837562822.6
MEDIAN_COST_BY_CAMPAIGN_TYPE_MONTH,522055808198583.06
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_October,512297692269033.7
CHANNEL_MONTH_ott_December,506976809826529.6
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ott_May,493561716256056.1
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_December,487353702062996.44
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_April,473127243431430.25
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_January,467651635168926.3
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_August,462855566439371.9
CHANNEL_MONTH_radio_April,461164274868956.7
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_paid social_February,438470511199802.75
AVG_FREE_TRIALS_BY_ATL_OR_DR_MONTH,437171644701939.6
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_April,432046186644441.0
CAMPAIGN_TYPE_MONTH_Brand_August,430946652252636.1
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ott_May,430605936807801.75
CHANNEL_MONTH_paid social_June,426724397589028.75
MEDIAN_COST_PER_FREE_TRIALS_BY_CHANNEL_MONTH,423266982017391.2
AVG_FREE_TRIALS_MONTH,408057113835318.9
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_paid social_October,403515679549721.4
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_display_December,401539007522949.4
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_display_August,399333391892148.06
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_youtube_February,394490920444067.8
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_May,380390660395800.5
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_youtube_October,377127045139243.1
CHANNEL_MONTH_ott_November,373777573414907.4
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_youtube_February,359174844815167.7
ATL_OR_DR_MONTH_ATL - Above The Line_January,356334232960753.06
CAMPAIGN_TYPE_CHANNEL_Brand_display,353651354708212.6
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_app_February,348057222692915.94
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_tv_December,346091831466146.0
CAMPAIGN_TYPE_MONTH_Title_December,338777194905727.3
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_youtube_March,338369875692486.2
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_youtube_September,336740426811499.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_ott_June,324199061760750.75
CHANNEL_MONTH_youtube_December,315121650411727.06
SEASON_Winter,307941952774534.06
CHANNEL_MONTH_app_May,306234061130132.5
CHANNEL_cinema,299014665501396.2
CAMPAIGN_TYPE_CHANNEL_Launch_online display,277029780353125.7
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_May,274753632089903.5
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Title_January,270143780720005.66
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_display_May,268101509280528.22
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Title_April,261797736740901.16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_display_May,258667096231017.28
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_paid social_November,258082343553054.44
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_November,255565902709559.53
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_October,251778372435031.28
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_November,238833051326811.16
CHANNEL_MONTH_display_January,236382278338501.1
ATL_OR_DR_MONTH_DR - Direct Response_February,236129592070675.8
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_olv_July,235880884700426.84
CAMPAIGN_TYPE_MONTH_Brand_June,235315406949647.94
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ott_November,235311730246989.25
ATL_OR_DR_MONTH_DR - Direct Response_May,234465453712961.16
ATL_OR_DR_MONTH_DR - Direct Response_March,232538279674816.8
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_June,231859758251569.5
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Title_March,228689368082976.38
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_December,226154365364224.38
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_youtube_June,224858016504005.22
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_May,217697886941697.9
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_youtube_August,211373501740955.53
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_March,209604488273202.1
CHANNEL_MONTH_paid social_September,209382723613731.88
ATL_OR_DR_MONTH_DR - Direct Response_September,209345692162631.28
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Brand_December,208889377770129.75
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_youtube_March,204751246516190.2
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_June,201985744021904.12
CAMPAIGN_TYPE_CHANNEL_Launch_olv,198634566724990.88
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_paid social_November,196244624182770.6
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_display_November,194789350140653.94
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_paid social_December,194102313274350.7
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_paid social_July,193984398028755.97
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_September,190433907750491.16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_tv_December,178446911508431.97
MONTH_December,176896059869076.88
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_display_May,175872823451975.22
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_paid social_August,175661563652230.56
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_youtube_December,174525551106202.16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_paid social_July,172397437791168.8
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_September,171473261674307.7
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_March,169425532642101.16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_November,168949013853115.78
CAMPAIGN_TYPE_MONTH_Title_October,165167044713134.66
CHANNEL_MONTH_paid social_February,164048791989961.22
CHANNEL_olv,163526477867025.38
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_display_December,159304361134835.22
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_February,158532246458613.16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_paid social_January,154499238190623.53
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_June,154441853564242.56
CAMPAIGN_TYPE_CHANNEL_Title_bvod,153602160675983.2
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_paid social_August,153083248127883.25
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_April,151316635270126.84
CHANNEL_ooh,150826341257323.88
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ott_April,149636718137273.25
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_January,148830032396670.25
CAMPAIGN_TYPE_CHANNEL_Launch_cinema,148780056036849.56
MEDIAN_FREE_TRIALS_BY_ATL_OR_DR_MONTH,147148084149979.34
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_paid social_October,146912143494160.03
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_paid social_August,146685520605880.8
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_April,146197562202554.6
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_display_January,145977837994763.34
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_paid social_June,145318828409617.5
CHANNEL_MONTH_display_October,144436346922327.75
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_January,143757589442228.1
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Brand_October,142530398180339.1
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_display_January,142441359761435.97
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_July,140273103484098.64
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_display_January,139124366397353.56
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_display_October,138924960853129.4
CHANNEL_MONTH_youtube_January,138912519759823.64
CAMPAIGN_TYPE_CHANNEL_Brand_print,138719292844832.05
CHANNEL_MONTH_paid social_October,136673107240838.67
CAMPAIGN_TYPE_CHANNEL_Title_radio,135850224206018.4
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_paid social_March,135180281691477.95
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_paid social_January,135097298787846.61
CHANNEL_digital audio,132083686607300.97
CAMPAIGN_TYPE_MONTH_Brand_October,129789603582053.06
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_February,128896185401615.61
ATL_OR_DR_MONTH_ATL - Above The Line_August,127058449092687.23
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_paid social_November,127034113432402.3
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_November,126967130850228.4
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ott_May,126674421681589.45
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Title_December,126315602794633.94
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Title_June,125628451743775.84
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_January,124774912010215.11
